"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TNFRSF4",0.264738744791214,-2.90489775537278,0,0.027,1
"ZBED2",0.264738744791214,-3.77420691714986,0,0.027,1
"ZNF683",0.264738744791214,-2.08327499592761,0,0.027,1
"HIF1A",0.267790809306812,0.43360718380523,0.938,0.919,1
"MAF",0.269639639226302,1.65330512305352,0.188,0.108,1
"ITGAL",0.272368014304041,3.19815765209856,0.083,0.027,1
"IL15",0.275304868757278,-1.19241720699546,0.125,0.216,1
"CCND2",0.277815561057793,1.22757191077265,0.229,0.135,1
"TXK",0.281388712359155,-0.709726261736014,0.125,0.216,1
"PCNA",0.281779344785585,-0.685413259917773,0.208,0.324,1
"BCL2A1",0.281916810636246,-0.510912049091261,0.104,0.189,1
"TNF",0.283133725500526,0.884015469226571,0.167,0.27,1
"LGALS9",0.284933872561627,2.61731974484873,0.146,0.081,1
"GNLY",0.286839164916895,1.53565664824907,0.312,0.216,1
"AQP3",0.291811835702235,0.631791251533526,0.083,0.027,1
"CD274",0.291811835702235,1.95119473923096,0.083,0.027,1
"HOPX",0.300412887216762,-0.437851060549122,0.396,0.514,1
"DOCK8",0.315766826915418,0.200780966298434,0.667,0.514,1
"NFKBIZ",0.316386020533216,0.480364878963587,0.562,0.432,1
"CST7",0.322866649220707,0.496950058983824,0.896,0.946,1
"CustomAbSeq13-ACU7013-pAbO",0.323172959515785,1.25517825275568,0.312,0.243,1
"TARP-refseq",0.324385710485429,0.909520018301402,0.583,0.541,1
"RORA",0.326923979553218,0.666956815789513,0.708,0.757,1
"CD74",0.33141334797985,0.57404169562084,0.688,0.703,1
"FYB",0.337237887800788,0.993429318678454,0.271,0.189,1
"KLRB1",0.338024356623975,-0.221294988713221,1,1,1
"CD8B",0.341300885809909,1.57706834790629,0.229,0.162,1
"LAT",0.349604327688522,0.902882729696787,0.396,0.324,1
"IFNAR1",0.354092436403358,1.02357404799973,0.292,0.216,1
"NFATC2",0.360296769127819,0.477756394220199,0.396,0.324,1
"KLRC1",0.36883829550021,1.09201039907244,0.312,0.243,1
"TRAT1",0.374421696352426,0.828750296099766,0.625,0.622,1
"CXCL5",0.38478001067647,-0.753088573535567,0.229,0.297,1
"CCL20",0.38819093306701,-0.362460556229961,0.188,0.27,1
"ZBTB16",0.389504686179572,-0.32838781750964,0.208,0.297,1
"AIM2",0.392420193613193,1.75201496534304,0.104,0.054,1
"AREG",0.392970807628956,2.3515695132923,0.021,0,1
"CD200",0.392970807628956,2.778116931719,0.021,0,1
"CD244",0.392970807628956,4.56341601129675,0.021,0,1
"CD38",0.392970807628956,4.65109515669245,0.021,0,1
"CX3CR1",0.392970807628956,2.3037807481771,0.021,0,1
"CXCL11",0.392970807628956,4.01955916094043,0.021,0,1
"CustomAbSeq15-ACU7015-pAbO",0.392970807628956,1.34230535872909,0.021,0,1
"HLA-DRA",0.392970807628956,3.73977173050151,0.021,0,1
"IGHM-secreted",0.392970807628956,1.34230535872909,0.021,0,1
"IL1RL1",0.392970807628956,3.80193169933198,0.021,0,1
"MMP25",0.392970807628956,5.30045673835313,0.021,0,1
"NFAT5",0.392970807628956,4.39981665532498,0.021,0,1
"OSM",0.392970807628956,3.60170323543596,0.021,0,1
"PDGFB",0.392970807628956,3.62991249864984,0.021,0,1
"TCF7",0.392970807628956,4.23443511798786,0.021,0,1
"TGFB1",0.392970807628956,2.0593800159362,0.021,0,1
"TOP2A",0.392970807628956,2.0593800159362,0.021,0,1
"TOX",0.392970807628956,2.3515695132923,0.021,0,1
"VCAM1",0.392970807628956,2.06875241844796,0.021,0,1
"VDR",0.392970807628956,2.10443395047523,0.021,0,1
"NFATC1",0.402792439708391,1.74609700058429,0.104,0.054,1
"IRF3",0.405521973458819,-2.2099090356032,0.021,0.054,1
"S100A10",0.406193654796704,-0.36117088715771,0.708,0.811,1
"ARL4C",0.409230204488687,0.583041552153694,0.375,0.324,1
"ZBTB32",0.413327282486726,0.291170788506834,0.104,0.054,1
"LYN",0.413327282486726,-1.96505184554659,0.062,0.108,1
"IFNAR2",0.420850234848421,-1.57113130812091,0.083,0.135,1
"FUT4",0.421354752347135,-1.58825681112909,0.021,0.054,1
"NR4A3",0.421354752347135,-1.51761343927421,0.021,0.054,1
"PRDM1",0.421413908239742,0.597326180011034,0.333,0.27,1
"FOSL2",0.422114719070993,1.66640140097205,0.188,0.135,1
"BTG1",0.422450138744413,0.222155653987878,0.979,1,1
"CustomAbSeq12-ACU7012-pAbO",0.430180978841453,0.249819198952999,0.979,0.973,1
"NR4A1",0.432419953693566,5.09499937402069,0.062,0.027,1
"TRBV28",0.432419953693566,5.08874268004278,0.062,0.027,1
"YBX3",0.432419953693566,4.0116319721081,0.062,0.027,1
"GZMK",0.433982375898277,0.148516747574742,0.708,0.595,1
"CD3D",0.435360000185199,0.144906482706049,0.938,0.973,1
"IL26",0.437544452337357,0.637075405269866,0.021,0.054,1
"RUNX1",0.437544452337357,0.724255364181766,0.021,0.054,1
"TIAF1",0.437544452337357,-0.347671235765329,0.021,0.054,1
"REL",0.439107296512049,-0.322018191861465,0.146,0.216,1
"KLRD1",0.440260520829153,3.62042884060334,0.125,0.081,1
"CCR6",0.447038303198127,-0.791422753452358,0.146,0.216,1
"IL15RA",0.449061352332048,1.81597860269524,0.25,0.216,1
"CD69",0.455812669765821,0.541455861405199,0.729,0.784,1
"STING1",0.461276758346029,0.839836995018744,0.062,0.027,1
"CASP3",0.462859729015138,1.08481611957062,0.188,0.135,1
"CD3E",0.475654883517965,0.510719435908527,0.625,0.649,1
