"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NR4A1",0.844254432972729,4.58512607605898,0.02,0.027,1
"TIGIT",0.844254432972729,1.20285843971763,0.02,0.027,1
"TNFSF14",0.847041965736246,-1.88067115040696,0.098,0.108,1
"GZMK",0.85287911937053,-0.589301132189822,0.706,0.595,1
"KLRC1",0.874200829885332,1.41398523542004,0.235,0.243,1
"MT2A",0.877401237245306,0.403092349471431,0.549,0.595,1
"CD300A",0.882751335412045,1.64640284769174,0.059,0.054,1
"NR4A3",0.882751335412045,4.48232578149183,0.059,0.054,1
"HIF1A",0.892359553184308,0.391077952295793,0.882,0.919,1
"KLRC3",0.899404683459643,1.02504991479328,0.059,0.054,1
"IFITM3",0.901432650609554,0.393905082652526,0.549,0.568,1
"IFNAR1",0.915816468668479,0.315328832857473,0.216,0.216,1
"TNFRSF1A",0.915816468668479,1.31663161643655,0.216,0.216,1
"MYC",0.919083944033125,0.602540386771576,0.451,0.459,1
"CCL3",0.919909234718266,0.316337294836081,0.176,0.189,1
"NFKBIA",0.928229099118205,-1.03061062175943,0.078,0.081,1
"BATF3",0.932837303638428,-0.290865596289587,0.059,0.054,1
"CD64:MD22-FCGR1A-AHS0180-pAbO",0.932837303638428,0.300720335310691,0.059,0.054,1
"IL7R",0.935993238882712,-0.207185938887617,0.98,0.919,1
"BACH2",0.944967063871614,-0.835316290474304,0.118,0.108,1
"RGS1",0.946819520136473,0.269825608658083,0.255,0.243,1
"STAT3",0.948145380063998,-0.441526914926835,0.353,0.324,1
"SGK1",0.960865051417136,-0.105807829397417,0.196,0.189,1
"ANXA1",0.96291844796531,0.320506992100602,0.98,0.973,1
"EGR3",0.962938847755241,0.123928117083915,0.157,0.162,1
"SATB1",0.966245033564687,-0.312050149277753,0.922,0.784,1
"HLA-A",0.966287539341035,0.187699379059069,1,1,1
"IL18",0.966388842807599,-1.90724689351059,0.059,0.054,1
"IL15RA",0.966516073458781,0.490856348051334,0.196,0.216,1
"CD3D",0.976396655809268,0.106521198178496,0.941,0.973,1
"IRF1",0.985883678625213,-0.258607938767711,0.569,0.541,1
"CD45RA:HI100-PTPRC-AHS0009-pAbO",0.993255580751362,0.501288350269157,1,0.973,1
"STAT5A",1,1.84048209933395,0.098,0.108,1
