"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SELPLG",0.265832357743449,0.119315663263164,0.366,0.457,1
"KLRB1",0.279159006736101,-0.180628253373373,0.375,0.338,1
"RUNX3",0.282357435427621,0.441175635592235,0.536,0.547,1
"BIN2",0.287015416685002,0.437756354072804,0.281,0.264,1
"IL18",0.29229534843182,0.898372489987432,0.049,0.032,1
"IgG2a-Ighg2a-AMM2217-pAbO",0.292693710049075,-0.207993128036242,0.022,0.039,1
"FOS",0.297493448489348,1.32064770640427,0.17,0.141,1
"CD52",0.297565392547395,0.299839332861028,0.723,0.759,1
"IKZF2",0.312208109631386,0.402004518924281,0.054,0.035,1
"ARL4C",0.312491156073274,0.417127347686523,0.286,0.26,1
"NR4A3",0.314634035711776,1.90805074490034,0.018,0.032,1
"LCK",0.319095615208646,0.394455543108031,0.701,0.778,1
"CD44",0.320076549563666,0.17558350336169,0.701,0.733,1
"KIR2DL1",0.323923171127559,0.752324442467622,0.004,0.013,1
"BCL2",0.332250858007146,0.637371695076654,0.152,0.129,1
"PRDM1",0.332432448562502,0.241475720236492,0.129,0.103,1
"FUT4",0.335013699131547,-0.795867086624293,0.009,0.019,1
"ID3",0.336367370247738,0.188330908867788,0.009,0.019,1
"CD6",0.338907620145643,0.338182331781906,0.504,0.537,1
"CCND2",0.357136247250992,0.683543366473386,0.147,0.125,1
"CD7",0.358778781505182,0.11430981831769,0.076,0.103,1
"BTG2",0.365697165096092,0.556968977663125,0.308,0.293,1
"IL21R",0.365799362721208,-0.157316181098943,0.027,0.042,1
"LEF1",0.366817088534522,0.308832229462528,0.616,0.653,1
"ZFP36",0.367220814954881,0.216217371498715,0.415,0.402,1
"GPR183",0.387094415264979,0.409462956764385,0.272,0.325,1
"CCL4",0.390298229141138,3.74097254515919,0.147,0.132,1
"DDIT3",0.391033403511413,0.464335186936382,0.174,0.151,1
"IL18R1",0.39308533179913,0.343444197744592,0.201,0.177,1
"FOXP3",0.393800260563964,1.54727575021287,0.054,0.039,1
"RUNX1",0.396306232446009,0.171105228871296,0.022,0.035,1
"DUSP4",0.398198651266727,-0.938301210903246,0.036,0.051,1
"CD160",0.402767168241085,2.31108504960463,0.018,0.01,1
"FCER1G",0.404388482641818,1.66802070171181,0.018,0.01,1
"IKZF1",0.406291746665064,0.128269490336614,0.487,0.502,1
"CustomAbSeq14-ACU7014-pAbO",0.406561376460287,1.9894372570777,0.013,0.006,1
"HLA-DRA",0.406561376460287,2.20270212039813,0.013,0.006,1
"LAYN",0.408551643564982,1.08417488148742,0.04,0.058,1
"BACH2",0.410393633660174,0.334237266585695,0.174,0.154,1
"ZBTB16",0.419227551224824,-0.523647261272607,0.054,0.071,1
"Streptavidin03-ASAV4003-pAbO",0.419897490958838,0.632706886089048,0.018,0.029,1
"YBX3",0.427708151228353,0.547263818969267,0.152,0.132,1
"CD63",0.428101914544569,0.494732090724844,0.353,0.35,1
"SLC16A1",0.42900735757107,-0.430300450770878,0.076,0.096,1
"RUNX2",0.430366374566746,0.37752690356314,0.147,0.129,1
"ITGB2",0.43304936338923,0.209100325625411,0.121,0.151,1
"CCR2",0.448702141489811,-0.327932009576513,0.013,0.023,1
"IL17RE",0.449944938129667,0.187776635002071,0.049,0.035,1
"TRBV28",0.453565093609692,0.34191012607737,0.045,0.032,1
"ADGRG1",0.458896674935919,2.15621995227188,0.013,0.023,1
"EGR1",0.459671906544174,1.0318017769235,0.054,0.071,1
"CD5",0.467488147233494,0.154130032491509,0.138,0.167,1
"IFNGR2",0.468316315927546,-0.112082097924473,0.071,0.09,1
"IL12A",0.477727742093809,-0.628884703852129,0.009,0.016,1
"RORC",0.480455931712072,0.51600732044839,0.076,0.061,1
"GZMH",0.481344330552856,2.43471812377178,0.036,0.026,1
"NR1D1",0.490451042146267,-2.48441205135101,0.004,0.01,1
"ZAP70",0.491520732520897,-0.96857461659873,0.022,0.032,1
"WNT10A",0.492844148262414,-1.23396253795385,0.004,0.01,1
"CR2",0.497649072865979,-0.19312564027502,0.004,0.01,1
"PAX5",0.497649072865979,0.644823186637772,0.004,0.01,1
"QPCT",0.497649072865979,0.922541182701941,0.004,0.01,1
"TNFRSF9",0.497649072865979,2.3640135531329,0.004,0.01,1
"ICOS",0.514068384160884,0.943684695872466,0.232,0.232,1
"ZEB2",0.521723897024243,1.10859784362742,0.067,0.055,1
"PTTG2",0.522536727045337,0.541684090456902,0.054,0.042,1
"VPS28",0.523930782983091,0.268471157542505,0.205,0.19,1
"BCL2A1",0.524138050095833,0.928345268661791,0.165,0.154,1
"C10orf54",0.530984634045333,0.984480074122122,0.045,0.058,1
"LGALS1",0.539550812978189,-0.144000345519315,0.125,0.109,1
"KDELR1",0.545530706633588,1.60130489615484,0.027,0.019,1
"TNFRSF25",0.569972060055998,0.126493359677087,0.027,0.035,1
"IGBP1",0.570297957850793,0.36817635074171,0.228,0.215,1
"MCM2",0.573790203743303,0.254551913449998,0.027,0.019,1
"IFNAR2",0.578405662090796,0.419269707567559,0.098,0.087,1
"ADA",0.589076545239979,0.865403100950832,0.152,0.145,1
"TNFAIP3",0.593592973513295,1.00557089947963,0.281,0.286,1
"STAT3",0.595210100855129,0.5253467006478,0.317,0.334,1
"TNFSF14",0.600730811955136,1.16202451366332,0.04,0.032,1
"IRF3",0.602533207744819,0.165798266696414,0.022,0.016,1
"LTB",0.605956214164104,2.01394484460755,0.027,0.035,1
"NFKB2",0.607210642116122,-0.545884329802298,0.013,0.019,1
"LIPA",0.607559139180987,0.316377928471582,0.33,0.344,1
"JUN",0.624277563847462,-0.547218448046481,0.161,0.141,1
"TMEM97",0.63216275796619,-0.908090720686988,0.022,0.029,1
"NFKBIA",0.634922559741883,1.37317841903304,0.036,0.029,1
"CASP8",0.639029656406782,0.139439209958264,0.183,0.177,1
"AREG",0.662345601230819,-3.42723456868461,0.009,0.013,1
"ID2",0.665803455250996,0.623433080753226,0.062,0.055,1
"DUSP1",0.670227807368173,0.703773176602642,0.304,0.299,1
"GPR171",0.67138719782695,0.542807666322368,0.009,0.013,1
"BCL6",0.671591211635171,0.409452730391911,0.098,0.113,1
"IL17F",0.672429131712655,0.23441324550374,0.049,0.042,1
"BCL2L1",0.680476607420316,1.44740030021804,0.013,0.01,1
"unknownAMM2347-unknown-AMM2347-pAbO",0.682756295196876,0.626021008388134,0.013,0.01,1
"CREM",0.685911844986064,1.04127004367836,0.031,0.026,1
"TRIB2",0.694445186169195,-0.308745381488993,0.161,0.174,1
"LYN",0.699278744728204,-1.0771923262907,0.018,0.023,1
"XCL2",0.708540303585895,1.54795602675616,0.04,0.048,1
"IFNGR1",0.723763108790477,0.207267693734786,0.263,0.286,1
"TIGIT-TIGIT-AHS0705-pAbO",0.725019777907108,1.77885574285814,0.027,0.023,1
"TNF",0.729570202605707,1.28719621023213,0.098,0.109,1
"ICAM1",0.732949809872886,-0.178305237843472,0.036,0.042,1
"CHI3L2",0.735306387577895,0.287879659420183,0.058,0.051,1
"NFKBIZ",0.751499076117366,0.538237416831159,0.429,0.45,1
"KLRF1",0.751603463884992,0.881083050530274,0.04,0.035,1
"CXCL5",0.753586917824154,0.295506164983597,0.214,0.212,1
"CCL3",0.757234426110023,1.25996849632477,0.08,0.074,1
"IL23R",0.768493879506889,0.132274616153092,0.741,0.81,1
"ATF6B",0.777844839773006,1.04806765637835,0.049,0.045,1
"HOPX",0.785811660143612,-0.105759228077462,0.156,0.167,1
"MYB",0.788757077147521,0.918680780730629,0.112,0.109,1
"TCR-Valpha7-TRAV7--AHS0282-pAbO",0.78989735260815,0.185133894605269,0.964,0.981,1
"CD3G",0.794040197987178,0.132276390354069,0.21,0.209,1
"GNLY",0.798217293624394,0.42996105329563,0.138,0.132,1
