"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZAP70",0.10297583280972,-0.729011886348228,0.015,0.032,1
"CD9",0.103224208755605,-0.842885796305671,0.015,0.032,1
"KLRC3",0.104965365386325,-0.160857309492588,0.027,0.048,1
"IER3",0.105057013265706,2.72881436034238,0.015,0.003,1
"IL6R",0.105530013845646,0.92746861181431,0.021,0.006,1
"VNN2",0.10707391136422,1.48104280328641,0.093,0.064,1
"IL12RB2",0.10951474088826,1.43636576878637,0.083,0.055,1
"FOXP1",0.112952732498445,0.527264289904318,0.231,0.193,1
"SLC4A10",0.114928799512791,1.06207898951651,0.208,0.174,1
"CD160",0.115022422915679,-2.92775597242207,0.002,0.01,1
"CD79A",0.116741608886004,-0.480466489890339,0.002,0.01,1
"STAT4",0.118548451013002,0.681563313716604,0.322,0.293,1
"FOXO3",0.12062238536202,0.676441189261521,0.17,0.135,1
"DPP4",0.127174625230073,0.890258569056426,0.157,0.122,1
"HLA-DQB1",0.13216752474142,-1.26226049672437,0.008,0.019,1
"CD28",0.132454078387439,0.469512988297109,0.235,0.193,1
"TNFAIP3",0.133559342788093,0.231421420734524,0.229,0.286,1
"Streptavidin13-ASAV4013-pAbO",0.134766119411558,-1.41645007647102,0.006,0.016,1
"KLRC2",0.13585225262358,2.02965003685335,0.07,0.045,1
"SOCS2",0.136603414066074,-0.533871740728683,0.006,0.016,1
"ITGB2",0.136894626501511,0.760595084241277,0.184,0.151,1
"TOX",0.13923517435943,0.703102438289289,0.042,0.023,1
"IFNG",0.139804126347421,2.13576170691337,0.629,0.646,1
"LAP3",0.144692886628641,0.241157588264299,0.443,0.402,1
"BIN2",0.145519591983343,0.304467289100285,0.292,0.264,1
"CCR1",0.148527409349381,2.56604649059713,0.013,0.003,1
"BATF3",0.148621698555418,0.445735071696409,0.028,0.013,1
"XBP1",0.15056987061574,0.387171455919945,0.314,0.277,1
"IGBP1",0.155520254822339,0.576222783761128,0.25,0.215,1
"KLRC1",0.15608965416203,2.08527645277423,0.08,0.055,1
"CXCR4",0.159298959307901,-0.553652317978775,0.557,0.614,1
"LAYN",0.161644524561272,0.712074389237576,0.036,0.058,1
"BCL6",0.165724009835313,-0.502228203737782,0.083,0.113,1
"TCR-Valpha7-TRAV7--AHS0282-pAbO",0.168319653636981,-0.124522901848305,0.949,0.981,1
"WNT10A",0.169726644865093,0.741523812717732,0.023,0.01,1
"IL10",0.170580347530556,1.13932747760554,0.134,0.106,1
"IL2RB",0.172185024776769,0.232909934585508,0.453,0.437,1
"NFKBIZ",0.176323690630866,0.330943676615403,0.481,0.45,1
"CD4",0.176594389913563,-0.371577400413485,0.085,0.113,1
